,source_country,target_country
302,Germany,Japan
303,Japan,Germany
304,Germany,Japan
305,Japan,Germany
306,Germany,Japan
307,Japan,Germany
308,Germany,Japan
309,Japan,Thailand
310,Thailand,Singapore
311,Japan,Germany
312,Germany,Japan
313,Japan,Thailand
314,Thailand,Singapore
315,Singapore,Japan
316,Japan,Philippines
317,Japan,Germany
318,Germany,Japan
319,Japan,Thailand
320,Thailand,Singapore
321,Singapore,Japan
322,Japan,Philippines
323,Philippines,Japan
324,Japan,Germany
325,Germany,Japan
326,Japan,Thailand
327,Thailand,Singapore
328,Singapore,Japan
329,Japan,Philippines
330,Philippines,Japan
331,Japan,Thailand
332,Thailand,Singapore
333,Singapore,Japan
334,Japan,Philippines
335,Philippines,Japan
336,Japan,Thailand
337,Thailand,Singapore
338,Singapore,Japan
339,Japan,Philippines
340,Philippines,Japan
341,Japan,Solomon Islands
342,Solomon Islands,Japan
343,Japan,Philippines
344,Philippines,Japan
345,Japan,Solomon Islands
346,Solomon Islands,Japan
347,Japan,Solomon Islands
348,Solomon Islands,Japan
349,Solomon Islands,Japan
350,Japan,India
351,India,Japan
352,Solomon Islands,Japan
353,Japan,India
354,India,Japan
355,Solomon Islands,Japan
356,Japan,India
357,India,Japan
358,Japan,India
359,India,Japan
360,Japan,India
361,India,Japan
362,India,Japan
363,Japan,Russia
364,Russia,France
365,France,India
366,India,Pakistan
367,Pakistan,Israel
368,Japan,Russia
369,Russia,France
370,France,India
371,India,Pakistan
372,Pakistan,Israel
373,Israel,South Africa
374,South Africa,Israel
375,Russia,France
376,France,India
377,India,Pakistan
378,Pakistan,Israel
379,Israel,South Africa
380,South Africa,Israel
381,Israel,Libya
382,Libya,Iran
383,Russia,France
384,France,India
385,India,Pakistan
386,Pakistan,Israel
387,Israel,South Africa
388,South Africa,Israel
389,Israel,Libya
390,Libya,Iran
391,Russia,France
392,France,India
393,India,Pakistan
394,Pakistan,Israel
395,Israel,South Africa
396,South Africa,Israel
397,Israel,Libya
398,Libya,Iran
399,Russia,France
400,France,India
401,India,Pakistan
402,Pakistan,Israel
403,Israel,South Africa
404,South Africa,Israel
405,Israel,Libya
406,Libya,Iran
407,Iran,Germany
408,Germany,France
409,South Africa,Israel
410,Israel,Libya
411,Libya,Iran
412,Iran,Germany
413,Germany,France
414,Libya,Iran
415,Iran,Germany
416,Germany,France
417,France,Japan
418,Germany,France
419,France,Japan
420,Germany,France
421,France,Japan
422,Germany,France
423,France,Japan
424,Papua New Guinea,India
425,Papua New Guinea,India
426,India,Pakistan
427,Pakistan,Philippines
428,Papua New Guinea,India
429,India,Pakistan
430,Pakistan,Philippines
431,Philippines,Laos
432,Laos,Cambodia
433,Cambodia,Kenya
434,Kenya,Ghana
435,Ghana,Seychelles
436,India,Pakistan
437,Pakistan,Philippines
438,Philippines,Laos
439,Laos,Cambodia
440,Cambodia,Kenya
441,Kenya,Ghana
442,Ghana,Seychelles
443,Seychelles,Angola
444,India,Pakistan
445,Pakistan,Philippines
446,Philippines,Laos
447,Laos,Cambodia
448,Cambodia,Kenya
449,Kenya,Ghana
450,Ghana,Seychelles
451,Seychelles,Angola
452,India,Pakistan
453,Pakistan,Philippines
454,Philippines,Laos
455,Laos,Cambodia
456,Cambodia,Kenya
457,Kenya,Ghana
458,Ghana,Seychelles
459,Seychelles,Angola
460,India,Pakistan
461,Pakistan,Philippines
462,Philippines,Laos
463,Laos,Cambodia
464,Cambodia,Kenya
465,Kenya,Ghana
466,Ghana,Seychelles
467,Seychelles,Angola
468,Laos,Cambodia
469,Cambodia,Kenya
470,Kenya,Ghana
471,Ghana,Seychelles
472,Seychelles,Angola
473,Latvia,Estonia
474,Estonia,Lithuania
475,Lithuania,Finland
476,Finland,Romania
477,Latvia,Estonia
478,Estonia,Lithuania
479,Lithuania,Finland
480,Finland,Romania
481,Romania,Albania
482,Albania,Bulgaria
483,Bulgaria,Poland
484,Poland,Romania
485,Romania,Hungary
486,Latvia,Estonia
487,Estonia,Lithuania
488,Lithuania,Finland
489,Finland,Romania
490,Romania,Albania
491,Albania,Bulgaria
492,Bulgaria,Poland
493,Poland,Romania
494,Romania,Hungary
495,Latvia,Estonia
496,Estonia,Lithuania
497,Lithuania,Finland
498,Finland,Romania
499,Romania,Albania
500,Albania,Bulgaria
501,Bulgaria,Poland
502,Poland,Romania
503,Romania,Hungary
504,Hungary,Mongolia
505,Mongolia,Cuba
506,Latvia,Estonia
507,Estonia,Lithuania
508,Lithuania,Finland
509,Finland,Romania
510,Romania,Albania
511,Albania,Bulgaria
512,Bulgaria,Poland
513,Poland,Romania
514,Romania,Hungary
515,Hungary,Mongolia
516,Mongolia,Cuba
517,Latvia,Estonia
518,Estonia,Lithuania
519,Lithuania,Finland
520,Finland,Romania
521,Romania,Albania
522,Albania,Bulgaria
523,Bulgaria,Poland
524,Poland,Romania
525,Romania,Hungary
526,Hungary,Mongolia
527,Mongolia,Cuba
528,Cuba,United States
529,Albania,Bulgaria
530,Bulgaria,Poland
531,Poland,Romania
532,Romania,Hungary
533,Hungary,Mongolia
534,Mongolia,Cuba
535,Cuba,United States
536,Mongolia,Cuba
537,Cuba,United States
538,Mongolia,Cuba
539,Cuba,United States
540,United States,Canada
541,Canada,Australia
542,United States,Canada
543,Canada,Australia
544,Canada,Australia
545,Australia,Vietnam
546,Canada,Australia
547,Australia,Vietnam
548,Canada,Australia
549,Australia,Vietnam
550,Canada,Australia
551,Australia,Vietnam
552,Cambodia,Vietnam
553,Cambodia,Vietnam
554,Vietnam,Cuba
555,Cambodia,Vietnam
556,Vietnam,Cuba
557,Cambodia,Vietnam
558,Vietnam,Cuba
559,Vietnam,Cuba
560,Vietnam,Cuba
561,Cuba,United States
562,Cuba,United States
563,Cuba,United States
564,United States,Russia
565,Russia,Japan
566,United States,Russia
567,Russia,Japan
568,Russia,Japan
569,Russia,Japan
570,Russia,Japan
571,Japan,Russia
572,Russia,Japan
573,Japan,Russia
574,Russia,Finland
575,Russia,Finland
576,Russia,Finland
577,Russia,Finland
578,Russia,Finland
579,Russia,Finland
580,Italy,Greece
581,Italy,Greece
582,Italy,Greece
583,Italy,Greece
584,Italy,Japan
585,Italy,Japan
586,Italy,Japan
587,Italy,Japan
588,Italy,Japan
589,Italy,Japan
590,India,Pakistan
591,India,Pakistan
592,India,Pakistan
593,India,Pakistan
594,India,Pakistan
595,India,Pakistan
596,Romania,Russia
597,Romania,Russia
598,Romania,Russia
599,Romania,Russia
600,Romania,Russia
601,Romania,Russia
602,Lebanon,India
603,Lebanon,India
604,India,Singapore
